id,tyyppikoodi,tyyppikoodi_alaryhma,tyyppikoodi_paaryhma,sijainti_id,reitisto_id,kunta_nimi_fi,lisatieto_fi,reitti_id,tyyppi_nimi_fi,nimi_fi,omistaja,yllapitaja,reitti_nimi_fi,palvelupaikka,counter
513346,101,1,0,606129,,Helsinki,Villaluodot ovat mukavia retkipaikkoja. Metsäisiä saaria ja kivikkoisia rantoja. Grillikatos sekä WC:t. Maihinnousu ja tilapäinen telttailu on sallittu.,,Lähipuisto,Pohjoinen Villaluoto,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),11
513348,101,1,0,606131,,Helsinki,Villaluodot ovat mukavia retkipaikkoja. Metsäisiä saaria ja kivikkoisia rantoja. Grillikatos ja WC:t. Maihinnousu ja tilapäinen telttailu sallittu. Itäinen Villaluoto on kooltaan 7790 neliömetriä.,,Lähipuisto,Itäinen Villaluoto,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),12
513350,101,1,0,606132,,Helsinki,"Kotiluoto ja Villaluodot ovat mukavia retkipaikkoja. Metsäisiä saaria ja kivikkoisia rantoja. Kotiluodon saaren päärakennus on nykyisin suojelukohde. Rakennuksen ovat vuokranneet Helsingin Navigaatioseura ja Itä-Helsingin pursiseura. Sauna (myynti@cardinalmarine.fi), uimalaituri ja avogrilli. Kaivo ja wc:t. Ei telttailua. Kotiluodolla oleviin laitureihin on veneiden kiinnitys kielletty. Veneiden kiinnityspaikka löytyy erikseen.",,Lähipuisto,Kotiluoto,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),13
513351,101,1,0,606133,,Helsinki,"Sijaitsee Itä-Helsingin ulkosaaristossa lähellä Pihlajaluotoa. Lyhytaikainen telttailu on sallittua ja maksutonta. Saaressa on käymälä, ei yhteysvenettä. Saarella on pääosin matalaa kasvillisuutta ja se on suosittu lintujen pesintäalue.",,Lähipuisto,Hattusaari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),14
513353,101,1,0,606134,,Helsinki,Heittouisteluun sekä merilinnustukseen sopiva alue. Ei retkeilyä tukevia palveluja.,,Lähipuisto,Koirakari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),15
513354,101,1,0,606135,,Helsinki,Pitkäkari sijaitsee puolustusvoimien ammuntojen vaaravyöhykkeen laidalla. Luoto on sopiva päiväretkikohde. Hyvä heittouistelualue. Ei retkeilyä tukevia palveluita.,,Lähipuisto,Pitkäkari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),16
513355,101,1,0,606136,,Helsinki,Hyvä heittouistelukohde. Merilinnustuskausi 10.9. - 31.12. Ei retkeilyä tukevia palveluita.,,Lähipuisto,Syväkari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),17
513356,101,1,0,606137,,Helsinki,"Kesäisin Uunisaareen on veneyhteys Merisatamantorilta ja talvisin saarelle johtaa mantereelta ponttoonisilta. Liikennöitsijä Juva Shipping Oy (puh. 040 736 2329, www.juvashipping.fi). Uunisaaresta johtaa silta Liuskasaareen. Uunisaari muodostuu toisiinsa kapealla salmella yhdistetyistä eteläisestä ja pohjoisesta saaresta.  Pitkän hiekkarantansa ja korkeatasoisten palvelujensa ansiosta Uunisaari on nykyisin suosittu virkistyssaari ja piknik-kohde. Saaren pinta-ala on noin 3 ha.  Uunisaari on helsinkiläisten yleisessä käytössä, hoitovastuu on liikuntaviraston merellisellä osastolla. Merisataman kylpylä Oy tuottaa ravintola- ja saunapalveluita kaupungin vuokra-alueella. Saunoja, kahvila, ravintola ja uimaranta. Alueella on valaistus.",,Lähipuisto,Uunisaari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),18
513359,101,1,0,606138,,Helsinki,Laakapaasi on puuton. Alueella oleva maja on vuokrattu Merilinnustajat ry:lle. Maihinnousu sallittu. Hyvä heittouistelualue. Ei retkeilyä tukevia palveluja.,,Lähipuisto,Laakapaasi,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),19
513360,101,1,0,606139,,Helsinki,"Louekari kuuluu puolustusvoimien Kytön suoja-alueeseen. Louekari on merilinnustusluoto, joka on myös hyvää heittouistelualuetta. Louekarin koillisrantaan voi kiinnittyä purjeveneellä. Saarelle ei ole julkista liikenneyhteyttä.",,Lähipuisto,Louekari ja Louekarinpaadet,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),20
513360,101,1,0,606139,,Helsinki,"Louekari kuuluu puolustusvoimien Kytön suoja-alueeseen. Louekari on merilinnustusluoto, joka on myös hyvää heittouistelualuetta. Louekarin koillisrantaan voi kiinnittyä purjeveneellä. Saarelle ei ole julkista liikenneyhteyttä.",,Lähipuisto,Louekari ja Louekarinpaadet,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),20
513360,101,1,0,606139,,Helsinki,"Louekari kuuluu puolustusvoimien Kytön suoja-alueeseen. Louekari on merilinnustusluoto, joka on myös hyvää heittouistelualuetta. Louekarin koillisrantaan voi kiinnittyä purjeveneellä. Saarelle ei ole julkista liikenneyhteyttä.",,Lähipuisto,Louekari ja Louekarinpaadet,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),20
513360,101,1,0,606139,,Helsinki,"Louekari kuuluu puolustusvoimien Kytön suoja-alueeseen. Louekari on merilinnustusluoto, joka on myös hyvää heittouistelualuetta. Louekarin koillisrantaan voi kiinnittyä purjeveneellä. Saarelle ei ole julkista liikenneyhteyttä.",,Lähipuisto,Louekari ja Louekarinpaadet,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),20
513360,101,1,0,606139,,Helsinki,"Louekari kuuluu puolustusvoimien Kytön suoja-alueeseen. Louekari on merilinnustusluoto, joka on myös hyvää heittouistelualuetta. Louekarin koillisrantaan voi kiinnittyä purjeveneellä. Saarelle ei ole julkista liikenneyhteyttä.",,Lähipuisto,Louekari ja Louekarinpaadet,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),20
513360,101,1,0,606139,,Helsinki,"Louekari kuuluu puolustusvoimien Kytön suoja-alueeseen. Louekari on merilinnustusluoto, joka on myös hyvää heittouistelualuetta. Louekarin koillisrantaan voi kiinnittyä purjeveneellä. Saarelle ei ole julkista liikenneyhteyttä.",,Lähipuisto,Louekari ja Louekarinpaadet,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),20
513361,101,1,0,606140,,Helsinki,"Mäntykari on kalastusretkikohde. Lyhytaikainen telttailu on sallittua. Huono merilinnustusalue, vaikka se onkin sallittua.",,Lähipuisto,Mäntykari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),26
513363,101,1,0,606141,,Helsinki,"Pihlajasaareen pääsee joko Ruoholahden lähtölaiturista tai Merisatamasta. Liikennöitsijät eivät ota koiria veneeseen, mutta omalla veneellään tulevat voivat ulkoiluttaa koiria Itäisessä Pihlajasaaressa pienellä merkityllä alueella. Monipuolinen luonto, hyvä sijainti ja toimivat palvelut ovat tehneet Pihlajasaaresta helsinkiläisten suosituimman kesäsaaren. Auringonpalvojia houkuttavat erityisesti Pihlajasaaren hiekkarannat. Useat saaren rakennuksista ovat suojelukohteita. Telttailu ja venesatama maksullisia. Vuokrattavissa oleva sauna, uimaranta (myös naturisteille omansa), kolme keittokatosta, hiekkateitä ja luontopolku. Lisäksi WC:t, kioski, kahvila ja ravintola.",,Lähipuisto,Pihlajasaaret,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),27
513363,101,1,0,606141,,Helsinki,"Pihlajasaareen pääsee joko Ruoholahden lähtölaiturista tai Merisatamasta. Liikennöitsijät eivät ota koiria veneeseen, mutta omalla veneellään tulevat voivat ulkoiluttaa koiria Itäisessä Pihlajasaaressa pienellä merkityllä alueella. Monipuolinen luonto, hyvä sijainti ja toimivat palvelut ovat tehneet Pihlajasaaresta helsinkiläisten suosituimman kesäsaaren. Auringonpalvojia houkuttavat erityisesti Pihlajasaaren hiekkarannat. Useat saaren rakennuksista ovat suojelukohteita. Telttailu ja venesatama maksullisia. Vuokrattavissa oleva sauna, uimaranta (myös naturisteille omansa), kolme keittokatosta, hiekkateitä ja luontopolku. Lisäksi WC:t, kioski, kahvila ja ravintola.",,Lähipuisto,Pihlajasaaret,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),27
513369,101,1,0,606146,,Helsinki,Hyvä alue heittouisteluun sekä merilinnustukseen. Ei retkeilyä tukevia palveluita.,,Lähipuisto,Tiirakari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),29
513370,101,1,0,606147,,Helsinki,Hyvä heittouistelupaikka. Ei retkeilyä tukevia palveluja. Merilinnustuskausi 10.9. - 31.12.,,Lähipuisto,Söderholminkupu,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),30
513371,101,1,0,606148,,Helsinki,Viinakuvun vedet ovat erityisen kalaisat. Merilinnustusalue. Ei retkeilyä tukevia palveluita.,,Lähipuisto,Viinakupu,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),31
513372,101,1,0,606149,,Helsinki,Maihinnousu ja tilapäinen telttailu ovat sallittuja. Ei retkeilyä tukevia palveluita.,,Lähipuisto,Taulukari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),32
513372,101,1,0,606149,,Helsinki,Maihinnousu ja tilapäinen telttailu ovat sallittuja. Ei retkeilyä tukevia palveluita.,,Lähipuisto,Taulukari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),32
513378,101,1,0,606153,,Helsinki,Ainoastaan maihinnousu ja tilapäinen telttailu sallittua. Hyvä heittouistelualue. Pitkäourin pohjoispuolen lahdelma sopii matalakulkuisille veneille parhaiten rantautumiseen.,,Lähipuisto,Pitkäouri,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),34
513378,101,1,0,606153,,Helsinki,Ainoastaan maihinnousu ja tilapäinen telttailu sallittua. Hyvä heittouistelualue. Pitkäourin pohjoispuolen lahdelma sopii matalakulkuisille veneille parhaiten rantautumiseen.,,Lähipuisto,Pitkäouri,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),34
513379,101,1,0,606154,,Helsinki,"Vasikkasaari on Helsingin kaupungin omistamaa yleistä ulkoilu- ja virkistysaluetta, josta kaupunki on vuokrannut maata mökkiyhdistyksen jäsenille kesämajakäyttöön. Suuri osa saarta on varsin luonnontilaista, ja erityisesti saaren länsipuolen korkeat ja jylhät kalliot ovat vaikuttavia ja tarjoavat mahtavat näköalat Suomenlinnan ja keskustan suuntaan. 

Saarelle kulkee kesäisin vesibussi, muuten ei jatkuvaa jatkuvaa julkista veneyhteyttä. Venesatamaan pääsee omalla veneellä. Melontaa harrastaville saari on kiinnostava retkikohde keskeisen sijaintinsa ja mielenkiintoisten nähtävyyksien vuoksi. Ei telttailua.",,Lähipuisto,Vasikkasaari,Kunta,Yksityinen / yhdistys,,ulkotila (alue),36
513382,101,1,0,606155,,Helsinki,"Koirasaari sijaitsee puolustusvoimien Kytön suoja-alueen sisällä. Saarella ei ole julkista liikenneyhteyttä. Koirasaarella on Helsingin Merilinnustajat ry:n omistama metsästysmaja. Ulkoluodoilla on aina pohjoispuolellaan hienoja moreenikasautumia, joten kannattaa kiertää saaren ympäri. Ei retkeilyä tukevia palveluja, lyhytaikainen telttailu on sallittua, hyvä kalastusalue. Merilinnustus on sallittua, kausi 10.9 - 31.12",,Lähipuisto,Koirasaari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),37
513382,101,1,0,606155,,Helsinki,"Koirasaari sijaitsee puolustusvoimien Kytön suoja-alueen sisällä. Saarella ei ole julkista liikenneyhteyttä. Koirasaarella on Helsingin Merilinnustajat ry:n omistama metsästysmaja. Ulkoluodoilla on aina pohjoispuolellaan hienoja moreenikasautumia, joten kannattaa kiertää saaren ympäri. Ei retkeilyä tukevia palveluja, lyhytaikainen telttailu on sallittua, hyvä kalastusalue. Merilinnustus on sallittua, kausi 10.9 - 31.12",,Lähipuisto,Koirasaari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),37
513383,101,1,0,606156,,Helsinki,"Itä-Helsingissä, Kallahdenselällä. Kulttuurihistoriallisesti, rakennustaiteellisesti ja maisemakulttuurisesti merkittävää aluetta. Ainoastaan maihinnousu sallittu.

Satamasaarelaiset Ry ylläpitää saarta ja vuokraa sieltä majapaikkoja.",,Lähipuisto,Satamasaari,Kunta,Yksityinen / yhdistys,,ulkotila (alue),39
513383,101,1,0,606156,,Helsinki,"Itä-Helsingissä, Kallahdenselällä. Kulttuurihistoriallisesti, rakennustaiteellisesti ja maisemakulttuurisesti merkittävää aluetta. Ainoastaan maihinnousu sallittu.

Satamasaarelaiset Ry ylläpitää saarta ja vuokraa sieltä majapaikkoja.",,Lähipuisto,Satamasaari,Kunta,Yksityinen / yhdistys,,ulkotila (alue),39
513386,107,1,0,606157,,Helsinki,"Julkinen liikenne: Toukokuun alusta lokakuun puoliväliin liikennöi saareen veneyhteys Merisatamanrannasta (Kapteeninkadun päästä).  Liuskasaaresta johtaa silta Uunisaareen. Liuskasaari kuuluu saariryhmään, joka sijaitsee Merisataman edustalla. Saarella on jo yli sata vuotta sijainnut pursiseura Helsingfors Segelsällskapin kerhorakennus, ravintola ja venesatama. Saari on avoinna seuran jäsenille, mutta myös vierailijoille. Liuskasaarella on lisäksi polttoainemyymälä, jonka yhteydessä toimii terassi-ravintola Skiffer. HSS:n vierasvenesatamassa on lisäksi sauna, septitankin tyhjennyspiste ja pyykinpesu- sekä -kuivaustilat.",,Matkailupalveluiden alue,Liuskasaari,Kunta,Yksityinen / yhdistys,,ulkotila (alue),41
513386,107,1,0,606157,,Helsinki,"Julkinen liikenne: Toukokuun alusta lokakuun puoliväliin liikennöi saareen veneyhteys Merisatamanrannasta (Kapteeninkadun päästä).  Liuskasaaresta johtaa silta Uunisaareen. Liuskasaari kuuluu saariryhmään, joka sijaitsee Merisataman edustalla. Saarella on jo yli sata vuotta sijainnut pursiseura Helsingfors Segelsällskapin kerhorakennus, ravintola ja venesatama. Saari on avoinna seuran jäsenille, mutta myös vierailijoille. Liuskasaarella on lisäksi polttoainemyymälä, jonka yhteydessä toimii terassi-ravintola Skiffer. HSS:n vierasvenesatamassa on lisäksi sauna, septitankin tyhjennyspiste ja pyykinpesu- sekä -kuivaustilat.",,Matkailupalveluiden alue,Liuskasaari,Kunta,Yksityinen / yhdistys,,ulkotila (alue),41
513387,107,1,0,606158,,Helsinki,"Pyysaari on vuokrattu Helsingin Työväen Pursiseuran käyttöön. Alueella on venesatama ja -telakka, saunatilat ja ravintola.",,Matkailupalveluiden alue,Pyysaari,Kunta,Yksityinen / yhdistys,,ulkotila (alue),43
513388,107,1,0,606159,,Helsinki,"Valkosaari on vuokrattu Nyländska Jaktklubbenille. Valkosaari sijaitsee Helsingin Eteläsatamassa, aivan kaupungin keskustassa. Saari on kaunis maamerkki lähestyttäessä Helsinkiä mereltä ja suuri valkoinen puurakenteinen paviljonki vihreine kattoineen on yksi Helsingin kuvatuimmista rakennuksista. Saarella on 125 laituripaikkaa, seuran jäsenille 75 paikkaa ja loput vieraileville pursille. Paviljongissa toimii kaikille avoinna oleva gourmet-ravintola ja sen lisäksi paviljongissa on seuran jäsenille ja heidän vierailleen omat kokouskabinetit. Purjehtiville vierailijoille on omat wc- ja suihkutilat, sauna, pesukone ja kuivausrumpu.",,Matkailupalveluiden alue,Valkosaari,Kunta,Yksityinen / yhdistys,,ulkotila (alue),44
513391,107,1,0,606162,,Helsinki,"Toukokuusta syyskuuhun Sirpalesaareen on veneyhteys Merisatamanrannasta (Pihlajasaaren lähtölaiturin viereinen laituri). Kun Suomalainen Pursiseura tarvitsi uuden alueen toiminnalleen, vuokrattiin sille Sirpalesaari, jossa uusi seuramaja avattiin v. 1963. Saari on purjehdusseuran käytössä, mutta avoinna myös muille kävijöille. Pursiseuralla mahdollisuus veneiden talvisäilytykseen. Vierasvenesatama ja Kesäravintola Saari.",,Matkailupalveluiden alue,Sirpalesaari,Kunta,Yksityinen / yhdistys,,ulkotila (alue),45
513672,103,1,0,606396,,Helsinki,"Talosaari, Husö on tyypillinen etelärannikon alue. Talosaaren ytimessä on 1800-luvulla rakennettu kartano. Ympäristön korkein kohta on Kasaberget (52 m merenpinnasta). Luonnonsuojelullisesti arvokkaalla alueella on neljä suojelualuetta ja kymmenen suojelukohdetta. Talosaaren pinta-ala on yli 300 ha, josta vesialuetta on 120 ha. Ei retkeilyä tukevia palveluita. Talosaaren ulkoilualue on virkistysalue, jonka maastossa risteilee kävelyreittejä. Ratsastajille ja hevosille ovat omat kulkureittinsä opasteineen. Hiihtoladut ovat vielä erikseen: Talosaaren ladut yhdistyvät Vuosaaren Mustavuoresta tuleviin hiihtolatuihin. Talosaaressa yksi ulkoilualueen kävelyreiteistä päätyy meren rantaan, jossa on Helsingin kaupungin pieni uimapaikka. Kesäksi kaupunki tuo uimareille vaatteidenvaihtokopin ja roskakorin.",,Ulkoilualue,Talosaaren ulkoilualue,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),46
513672,103,1,0,606396,,Helsinki,"Talosaari, Husö on tyypillinen etelärannikon alue. Talosaaren ytimessä on 1800-luvulla rakennettu kartano. Ympäristön korkein kohta on Kasaberget (52 m merenpinnasta). Luonnonsuojelullisesti arvokkaalla alueella on neljä suojelualuetta ja kymmenen suojelukohdetta. Talosaaren pinta-ala on yli 300 ha, josta vesialuetta on 120 ha. Ei retkeilyä tukevia palveluita. Talosaaren ulkoilualue on virkistysalue, jonka maastossa risteilee kävelyreittejä. Ratsastajille ja hevosille ovat omat kulkureittinsä opasteineen. Hiihtoladut ovat vielä erikseen: Talosaaren ladut yhdistyvät Vuosaaren Mustavuoresta tuleviin hiihtolatuihin. Talosaaressa yksi ulkoilualueen kävelyreiteistä päätyy meren rantaan, jossa on Helsingin kaupungin pieni uimapaikka. Kesäksi kaupunki tuo uimareille vaatteidenvaihtokopin ja roskakorin.",,Ulkoilualue,Talosaaren ulkoilualue,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),46
513672,103,1,0,606396,,Helsinki,"Talosaari, Husö on tyypillinen etelärannikon alue. Talosaaren ytimessä on 1800-luvulla rakennettu kartano. Ympäristön korkein kohta on Kasaberget (52 m merenpinnasta). Luonnonsuojelullisesti arvokkaalla alueella on neljä suojelualuetta ja kymmenen suojelukohdetta. Talosaaren pinta-ala on yli 300 ha, josta vesialuetta on 120 ha. Ei retkeilyä tukevia palveluita. Talosaaren ulkoilualue on virkistysalue, jonka maastossa risteilee kävelyreittejä. Ratsastajille ja hevosille ovat omat kulkureittinsä opasteineen. Hiihtoladut ovat vielä erikseen: Talosaaren ladut yhdistyvät Vuosaaren Mustavuoresta tuleviin hiihtolatuihin. Talosaaressa yksi ulkoilualueen kävelyreiteistä päätyy meren rantaan, jossa on Helsingin kaupungin pieni uimapaikka. Kesäksi kaupunki tuo uimareille vaatteidenvaihtokopin ja roskakorin.",,Ulkoilualue,Talosaaren ulkoilualue,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),46
513672,103,1,0,606396,,Helsinki,"Talosaari, Husö on tyypillinen etelärannikon alue. Talosaaren ytimessä on 1800-luvulla rakennettu kartano. Ympäristön korkein kohta on Kasaberget (52 m merenpinnasta). Luonnonsuojelullisesti arvokkaalla alueella on neljä suojelualuetta ja kymmenen suojelukohdetta. Talosaaren pinta-ala on yli 300 ha, josta vesialuetta on 120 ha. Ei retkeilyä tukevia palveluita. Talosaaren ulkoilualue on virkistysalue, jonka maastossa risteilee kävelyreittejä. Ratsastajille ja hevosille ovat omat kulkureittinsä opasteineen. Hiihtoladut ovat vielä erikseen: Talosaaren ladut yhdistyvät Vuosaaren Mustavuoresta tuleviin hiihtolatuihin. Talosaaressa yksi ulkoilualueen kävelyreiteistä päätyy meren rantaan, jossa on Helsingin kaupungin pieni uimapaikka. Kesäksi kaupunki tuo uimareille vaatteidenvaihtokopin ja roskakorin.",,Ulkoilualue,Talosaaren ulkoilualue,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),46
513996,101,1,0,606674,,Helsinki,"Kaunissaari tarjoaa venesataman suojaisassa valkamassa saaren itärannalla, sataman syvyys 1,9 m, 80 venepaikkaa. Saareen liikennöi Vuosaaresta liikennöitsijä. Saarella on vuokrattavia mökkejä sekä  varattavia saunavuoroja. Saaren luontopolku tutustuttaa saaren luontoon. Lisäksi saarella on retkeilijöille viisi keittokatosta (joista on kolme rampillista käymälää) ja Kaunissaaren ravintola. Telttailu on sallittu saaressa, yöpymismaksut peritään. Tilavaraukset Varaamosta.",,Lähipuisto,Kaunissaari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),50
514004,103,1,0,606680,,Helsinki,"Lähteelän ulkoilualueeseen kuuluu mannerta ja laaja saariryhmä. Maasto on vaihtelevaa kaislikkoisine kalliorantoineen, mäkineen ja peltoineen. Lähteelässä on hyvät peruspalvelut, mutta se sopii ""erämaaluonteiseen"" retkeilyyn ja telttailuun sekä lintujentarkkailuun. Alueella on mahdollista retkeillä ympäri vuoden.
Lähteelän edustalla sijaitsevat mm. Stora Svartön ja Lilla Svartön saaret, Stora Svartölle on mantereelta matkaa noin kilometri. Saaren kaksoiskallioiden laet kohoavat merenpinnasta parikymmentä metriä. Lähteelän ulkoilualue on perustettu vuonna 1970. Alueen pinta-ala on 134 ha ja vesialue 992 ha.",,Ulkoilualue,Lähteelän ulkoilualue ,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),51
514004,103,1,0,606680,,Helsinki,"Lähteelän ulkoilualueeseen kuuluu mannerta ja laaja saariryhmä. Maasto on vaihtelevaa kaislikkoisine kalliorantoineen, mäkineen ja peltoineen. Lähteelässä on hyvät peruspalvelut, mutta se sopii ""erämaaluonteiseen"" retkeilyyn ja telttailuun sekä lintujentarkkailuun. Alueella on mahdollista retkeillä ympäri vuoden.
Lähteelän edustalla sijaitsevat mm. Stora Svartön ja Lilla Svartön saaret, Stora Svartölle on mantereelta matkaa noin kilometri. Saaren kaksoiskallioiden laet kohoavat merenpinnasta parikymmentä metriä. Lähteelän ulkoilualue on perustettu vuonna 1970. Alueen pinta-ala on 134 ha ja vesialue 992 ha.",,Ulkoilualue,Lähteelän ulkoilualue ,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),51
